5241,5264.8,5282.4,5192.1,5241000,-0.45%
5290.2,5241,5327,5240.2,5290200,0.94%
5243.5,5290.2,5308.2,5189.8,5243500,-0.88%
5346.7,5248.2,5370.2,5170.2,5346700,1.97%
5511.6,5346.5,5594.4,5291.4,5511600,3.08%
5415.6,5511.2,5589.6,5346.8,5415600,-1.74%
5209.1,5415.6,5528.2,5137.4,5209100,-3.81%
5298.3,5209.2,5469.3,5159.3,5298300,1.71%
5265.9,5298.2,5318.1,5225.4,5265900,-0.61%
5302.3,5265.7,5332.5,5234.4,5302300,0.69%
5235,5302.4,5322.9,5188.9,5235000,-1.27%
5320.8,5235.4,5336.6,5195.9,5320800,1.64%
5384.2,5321.1,5396.3,5319.5,5384200,1.19%
5493.8,5384.6,5530.8,5370,5493800,2.04%
5766.8,5493.6,5844.2,5478.7,5766800,4.97%
5830.9,5768,5899.2,5605,5830900,1.11%
5774.9,5830.8,5838.2,5708.2,5774900,-0.96%
5745.1,5775.1,5801.4,5630.5,5745100,-0.52%
5849.5,5745.5,6019.8,5745.5,5849500,1.82%
5990.3,5849.4,6011.3,5799.1,5990300,2.41%
6191.5,5990.5,6206,5990,6191500,3.36%
6386,6194.3,6466.6,6157.8,6386000,3.14%
7190.3,6386.6,7373.8,6386.5,7190300,12.59%
6984.8,7190,7518.9,6802.6,6984800,-2.86%
7806,6984.7,8058.3,6893.1,7806000,11.76%
7994.6,7806.4,8323.9,7674,7994600,2.42%
8164.6,7994.8,8225.3,7856.5,8164600,2.13%
7871.8,8164.8,8293.3,7720.4,7871800,-3.59%
7359.5,7871.9,7924,6998.6,7359500,-6.51%
7262.6,7359.9,7458.5,7189.4,7262600,-1.32%
8157.2,7261.9,8253.4,7252.3,8157200,12.32%
7965.3,8156.4,8156.4,7604,7965300,-2.35%
7930.3,7965,8056.8,7813.2,7930300,-0.44%
7635.7,7928.7,7999,7545.9,7635700,-3.72%
7852.1,7637.2,7939.1,7486.8,7852100,2.83%
7970.1,7852.8,8124.1,7775.4,7970100,1.50%
8027.4,7971.4,8090.1,7919.1,8027400,0.72%
8630.2,8029.6,8718.6,7866.5,8630200,7.51%
8760.1,8628.9,8902.8,8607.3,8760100,1.51%
8716.3,8759.4,8794.1,8568.8,8716300,-0.50%
8647.8,8715.6,8747.2,8435.3,8647800,-0.79%
8271.9,8647.8,9045.9,8054.7,8271900,-4.35%
8558.3,8271.4,8578.8,8135,8558300,3.46%
8545.7,8556.9,8615.8,8454,8545700,-0.15%
8728.6,8545.8,8807.7,8534.8,8728600,2.14%
8124.8,8728.6,8734.9,8102.7,8124800,-6.92%
7685.5,8118.1,8118.1,7494,7685500,-5.41%
7779.1,7685.6,7885,7590.4,7779100,1.22%
7784.9,7779.6,7861.4,7480.4,7784900,0.08%
7985.2,7785.8,8099.4,7749.4,7985200,2.57%
7901.4,7985.3,8044.4,7770.5,7901400,-1.05%
7635,7901.6,7937.5,7516.9,7635000,-3.37%
7987.8,7635,8012.8,7523.6,7987800,4.62%
7888,7987.8,8010.4,7714.5,7888000,-1.25%
8133.1,7888,8198.1,7805.8,8133100,3.11%
8219,8132.4,8306.1,8028.6,8219000,1.06%
8656.1,8218.6,8685.3,8153.2,8656100,5.32%
