0.23378,0.23423,0.23816,0.23215,2.16B,-0.20%
0.23424,0.2395,0.2396,0.22979,2.09B,-2.20%
0.2395,0.22732,0.24139,0.22605,2.03B,5.35%
0.22734,0.22901,0.23582,0.22445,1.79B,-0.73%
0.22902,0.23663,0.24212,0.22898,1.87B,-3.22%
0.23665,0.23812,0.24375,0.22889,2.64B,-0.59%
0.23805,0.22901,0.24708,0.22391,3.13B,3.95%
0.22901,0.25244,0.25495,0.22313,4.12B,-9.28%
0.25245,0.27024,0.27056,0.25182,2.60B,-6.59%
0.27025,0.28319,0.28411,0.26448,2.38B,-4.63%
0.28338,0.27492,0.2843,0.27484,1.99B,3.08%
0.27492,0.27422,0.27803,0.27043,1.82B,0.25%
0.27422,0.27114,0.27853,0.2688,2.45B,1.14%
0.27114,0.27518,0.28145,0.26279,3.28B,-1.47%
0.27518,0.29806,0.30621,0.2722,3.26B,-7.66%
0.29801,0.28707,0.30235,0.27604,3.68B,3.81%
0.28708,0.29293,0.29478,0.2693,3.89B,-2.07%
0.29316,0.30754,0.31879,0.27109,4.21B,-4.68%
0.30754,0.33587,0.34553,0.29679,4.12B,-8.43%
0.33587,0.32731,0.33881,0.31211,4.10B,2.62%
0.32731,0.30436,0.33931,0.30197,6.05B,7.54%
0.30437,0.28107,0.30858,0.28106,3.67B,8.29%
0.28107,0.27348,0.28317,0.26764,2.02B,2.77%
0.27348,0.2826,0.28316,0.26768,2.06B,-3.22%
0.28259,0.27763,0.28868,0.27652,1.96B,1.79%
0.27763,0.27949,0.28166,0.26479,1.97B,-0.70%
0.27959,0.28358,0.28804,0.27785,2.12B,-1.41%
0.28359,0.2778,0.28772,0.27075,3.08B,2.08%
0.27779,0.26722,0.28202,0.26719,3.24B,3.97%
0.26719,0.25465,0.26884,0.25465,2.89B,4.92%
0.25465,0.251,0.25908,0.24741,2.09B,1.47%
0.25097,0.24132,0.26098,0.23619,2.47B,4.00%
0.24132,0.23939,0.24294,0.23724,1.29B,0.81%
0.23938,0.24334,0.2444,0.234,1.81B,-1.62%
0.24333,0.23546,0.24594,0.23123,2.07B,3.34%
0.23546,0.23921,0.24171,0.23457,1.86B,-1.57%
0.23921,0.23086,0.24114,0.23085,1.96B,3.62%
0.23086,0.23114,0.23371,0.22636,1.51B,-0.13%
0.23115,0.2196,0.23197,0.21823,1.30B,5.26%
0.2196,0.22217,0.22259,0.21688,1.13B,-1.16%
0.22217,0.22595,0.22618,0.21401,1.69B,-1.68%
0.22595,0.23721,0.23726,0.22163,1.57B,-4.74%
0.2372,0.23721,0.23979,0.23331,1.39B,-0.01%
